215 11 48
5.62738e-05
1.00436e-07
6.19315
-94.4348
3.17526
0.000160279
-0.000307523
7.20703e-05
9.51041
-142.982
4.58147
-2.51421e-05
-8.49559e-05
-0.000387273
16.982
-260.922
8.681
-0.0289441
0.425832
-0.0148596
-303.211
-255.537
49.6208
-0.0282263
0.425749
-0.0147849
-311.048
-135.13
45.2488
-0.0285288
0.425963
-0.0145797
-317.813
-33.2557
41.8451
0.0379192
-0.572596
0.0196705
455.51
3.46657
-44.1418
0.0379788
-0.572149
0.0194665
459.821
-67.9167
-42.0575
0.0384734
-0.572564
0.0196556
463.716
-123.743
-40.1569
0.0374631
-0.572467
0.0189099
471.322
-242.118
-35.9771
-21.0525
-122.688
752.807
-81.4447
-109.764
735.693
29.9186
-84.9807
760.04
-42.5203
-75.6419
748.622
-100.439
-66.1028
734.431
81.379
-69.7803
775.293
-56.4938
-15.8691
744.736
80.7125
-6.969
774.157
-101.982
4.76745
734.086
148.563
16.8699
789.416
66.2119
21.901
771.195
-144.344
27.3129
720.038
-86.4293
51.9919
736.569
26.4535
57.4702
760.592
118.668
74.8185
782.182
-120.23
87.2812
728.368
-80.7526
104.964
736.493
121.471
126.078
781.512
31.9675
124.853
761.224
76.4861
127.368
771.444
-119.563
128.713
728.335
-78.9242
153.812
734.592
-104.908
165.966
726.887
107.075
198.116
776.418
69.9063
198.425
768.158
-89.0788
217.378
732.62
121.691
232.596
779.817
-120.012
224.034
725.272
95.7889
260.341
773.459
49.0506
259.093
742.29
-102.915
263.217
729.065
-80.5001
292.761
733.948
87.9292
311.972
772.106
-105.282
317.351
728.107
61.9449
335.428
764.28
-71.4412
364.812
734.443
22.2344
370.809
753.225
-31.2931
382.484
743.197
-3.94829
401.42
749.144
-15.6125
268.372
740.845
60.8082
131.217
727.851
-51.9278
-26.3691
852.08
53.1157
134.475
729.089
-41.7518
42.8465
760.826
-82.2328
193.77
706.612
-91.7261
200.509
964.555
-30.061
272.95
795.118
-43.656
272.616
680.002
